Title,Brand,Price,Condition,Retail_Price,Volume,Exterior_Color,Exterior_Material,Interior_Color,Interior_Material,Accessories,Ac_Count
Christian Dior Roller Messenger Bag Oblique Canvas,Christian Dior,1695.0,Excellent,,160.0,Blue,Canvas Plain,Black,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Gucci GG Marmont Flap Bag Matelasse Velvet Medium,,,,,,,,,,,
Chanel Boy Flap Bag Quilted Lambskin Small,Chanel,4660.0,Very Good,,120.0,Blue,Leather,Blue,Fabric,['Authenticity card'],1.0
Balenciaga City Graffiti Classic Studs Bag Leather Small,Balenciaga,1425.0,Very Good,2300.0,345.0,Black,Leather,Black,Fabric,"['Mirror', 'Dust bag', 'Detachable Strap']",3.0
Balenciaga Everyday Crossbody Bag Leather XS,Balenciaga,785.0,Excellent,1180.0,70.0,Gray,Leather,Black,Leather,['Dust bag'],1.0
Chanel Vintage CC Chain Tote Caviar Small,Chanel,1645.0,Very Good,2600.0,378.0,Black,Leather,Black,Leather,['No accessories'],0.0
Prada Bowling Convertible Handle Bag Leather Small,Prada,1735.0,Excellent,2350.0,423.5,Blue,Leather,Black,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Gucci GG Marmont Shoulder Bag Matelasse Leather Small,Gucci,1385.0,Very Good,,148.5,Neutral,Leather,Neutral,Microfiber,['Dust bag'],1.0
Fendi Baguette Zucchino Canvas,Fendi,780.0,Good,,75.0,Black,Canvas (Plain),Black,Fabric,['No accessories'],0.0
Christian Dior Lady,Christian Dior,4640.0,Very Good,,303.75,Pink,Canvas Plain,Pink,Canvas Plain,['Detachable Strap'],1.0
Louis Vuitton Vaugirard Handbag Monogram Canvas with Leather,Louis Vuitton,2900.0,Very Good,,257.25,"Brown, Neutral","Canvas Coated, Leather",Neutral,Microfiber,"['Box', 'Dust bag', 'Detachable Strap']",3.0
Hermes Birkin Handbag Argile Clemence with Gold Hardware 35,Hermes,10935.0,Fair,,897.75,Neutral,Leather,Neutral,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag']",4.0
Chanel Classic Single Flap Bag Quilted Lambskin Jumbo,Chanel,5030.0,Very Good,5500.0,357.0,Black,Leather,Black,Leather,"['Box', 'Authenticity card']",2.0
Christian Dior Book Tote Embossed Leather Small,Christian Dior,2750.0,Excellent,,957.0,Black,Leather,Black,Microfiber,"['Dust bag', 'Box']",2.0
Chanel Chevron Chic Shopping Tote Chevron Calfskin Small,Chanel,3160.0,Good,4300.0,528.0,White,Leather,Pink,Fabric,"['Authenticity card', 'Dust bag']",2.0
Chanel Coco Top Handle Bag Chevron Calfskin Large,Chanel,3645.0,Great,4300.0,540.0,Black,Leather,Red,Fabric,"['Dust bag', 'Authenticity card', 'Detachable Strap']",3.0
Chanel Vintage Diamond Stitch Drawstring Bucket Bag Quilted Lambskin,Chanel,2205.0,Good,3500.0,1221.875,Black,Leather,,Leather,['Pochette'],1.0
